student_count,awards_per_value,awards_per_state_value,awards_per_natl_value,exp_award_value,exp_award_state_value,exp_award_natl_value,ft_pct,fte_value,aid_value,endow_value,grad_100_value,grad_150_value,pell_value,retain_value,ft_fac_value,state_sector_ct,carnegie_ct,counted_pct,cohort_size,num_similar,2_yr_inst,4_yr_inst,private_fp,private,public,hbcu_no,hbcu_yes,flagship_no,flagship_yes,associates_privatefp,associates_pr_sl,associates_pr_sm,associates_pu_multi,bachelors_as,bacelors_df,bachelors_associates,masters_lp,masters_mp,Other_institutions
863,11,17.8,22.5,128277.0,92268,101725,93.6,940,7526.0,19434.0,16,26,74.3,61,87.9,16.0,252,72.6,378,20,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
932,13,17.8,22.5,53231.42932960894,92268,101725,91.1,542,16234.0,6100.0,82,82,96.6,32,81.1,16.0,252,87.4,125,20,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
1351,17,15.9,22.79326963024512,39149.0,42194,37780,52.6,1275,3409.0,8677.865365853659,19,32,61.0,49,64.4,25.0,111,38.5,278,20,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2552,21,18.8,21.5,38447.0,75743,66436,56.0,2157,5321.0,33.0,13,35,47.6,73,37.4,13.0,386,32.8,1667,20,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2584,13,17.8,22.5,53231.42932960894,92268,101725,95.5,2606,4792.0,37366.0,16,43,64.5,72,100.0,16.0,343,31.5,796,20,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
3490,16,15.9,22.79326963024512,44867.0,42194,37780,51.8,2970,4296.0,50.0,6,13,58.4,58,34.6,25.0,289,57.5,1006,20,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
2552,16,16.3,21.5,88284.0,103823,66436,46.9,2157,4830.0,4018.0,8,27,24.7,70,47.4,3.0,386,54.7,952,20,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
7989,16,16.3,21.5,53231.42932960894,103823,66436,45.7,5545,5315.0,12346.0,14,37,23.5,76,69.4,3.0,96,67.8,523,20,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2645,16,16.3,21.5,70131.0,103823,66436,31.0,1544,4688.0,2108.0,4,12,18.3,71,47.5,3.0,106,15.1,49,20,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
387,22,22.9,22.5,97275.0,97275,101725,63.3,342,7508.0,8677.865365853659,25,40,27.9,66,37.6,1.0,106,21.8,40,20,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
