chronname,city,state,level,control,basic,hbcu,flagship,student_count,awards_per_value,awards_per_state_value,awards_per_natl_value,exp_award_value,exp_award_state_value,exp_award_natl_value,ft_pct,fte_value,med_sat_value,aid_value,endow_value,grad_100_value,grad_150_value,pell_value,retain_value,ft_fac_value,state_sector_ct,carnegie_ct,counted_pct,cohort_size,num_similar
Western Piedmont Community College,Morganton,North Carolina,2-year,Public,Associates--Public Rural-serving Medium,no,no,2352,23.2,14.8,16.5,37109,37924,37780,52.8,2205,1059.8893044128647,4772.0,914.0,8.8,23.6,73.4,60.7,24.5,59,289,31.3,407.0,20.0
Wilkes Community College,Wilkesboro,North Carolina,2-year,Public,Associates--Public Rural-serving Medium,no,no,2753,20.4,14.8,16.5,38793,37924,37780,54.5,2292,1059.8893044128647,5425.0,1898.0,8.3,31.8,53.0,64.5,27.6,59,289,33.9,374.0,20.0
Wilson Community College,Wilson,North Carolina,2-year,Public,Associates--Public Rural-serving Medium,no,no,2117,13.3,14.8,16.5,57902,37924,37780,50.6,1682,1059.8893044128647,4889.0,579.0,13.3,24.5,49.0,54.5,20.3,59,289,36.7,347.0,20.0
Wingate University,Wingate,North Carolina,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs,no,no,2009,15.9,21.4,22.5,98897,148420,101725,97.2,1716,1013.0,18019.0,17933.0,46.9,53.1,38.2,75.4,56.2,43,106,80.2,426.0,20.0
Winston-Salem State University,Winston-Salem,North Carolina,4-year,Public,Masters Colleges and Universities--medium programs,yes,no,4938,24.2,21.1,21.5,60933,74454,66436,87.4,5048,889.0,6634.0,3898.0,17.8,45.5,57.2,75.0,78.1,16,169,59.8,962.0,20.0
Western Carolina University,Cullowhee,North Carolina,4-year,Public,Masters Colleges and Universities--larger programs,no,no,8448,23.7,21.1,21.5,48912,74454,66436,83.8,7559,1034.0,5785.0,6199.0,32.0,51.1,38.1,78.6,69.1,16,386,59.4,1249.0,20.0
Rasmussen College at Fargo,Fargo,North Dakota,4-year,Private for-profit,Baccalaureate/Associates Colleges,no,no,964,30.2,30.2,24.6,28938,28938,38763,54.6,879,1059.8893044128647,3391.0,32544.04606112785,14.3,14.3,57.5,0.0,24.0,1,124,23.6,7.0,20.0
Bismarck State College,Bismarck,North Dakota,4-year,Public,Associates--Public 4-year Primarily Associates,no,no,4062,35.5,19.9,21.5,34751,72233,66436,58.2,3015,1059.8893044128647,3747.0,2664.0,28.36446495529276,42.40758580905681,23.7,66.23185289957567,36.4,9,34,71.8,658.3060282665128,20.0
Dickinson State University,Dickinson,North Dakota,4-year,Public,Baccalaureate Colleges--Diverse Fields,no,no,1449,22.9,19.9,21.5,49919,72233,66436,70.3,1411,965.0,3878.0,7753.0,15.3,37.9,23.4,55.5,60.3,9,343,34.2,314.0,20.0
Ft. Berthold Community College,New Town,North Dakota,4-year,Public,Tribal Colleges,no,no,203,19.8,19.9,21.5,125673,72233,66436,63.1,170,1059.8893044128647,9101.0,7449.0,40.0,40.0,33.2,100.0,70.4,9,33,81.2,5.0,20.0
Jamestown College,Jamestown,North Dakota,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,no,no,955,16.9,20.3,22.5,96188,61404,101725,92.4,958,1038.0,9961.0,31554.0,33.3,51.1,27.8,61.1,70.3,5,343,84.1,264.0,20.0
Lake Region State College,Devils Lake,North Dakota,2-year,Public,Associates--Public Rural-serving Medium,no,no,1898,19.1,25.9,16.5,36824,49596,37780,25.6,1075,1059.8893044128647,4113.0,5167.0,29.5,39.6,16.4,52.2,75.0,5,289,18.1,207.0,20.0
Cankdeska Cikana Community College,Fort Totten,North Dakota,2-year,Public,Tribal Colleges,no,no,254,19.5,25.9,16.5,237148,49596,37780,62.6,201,1059.8893044128647,3463.0,6639.0,11.5,15.4,71.3,52.9,100.0,5,33,61.9,26.0,20.0
University of Mary,Bismarck,North Dakota,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,no,no,2044,20.6,20.3,22.5,39136,61404,101725,80.1,1962,1046.0,7421.0,12374.0,28.1,48.6,23.6,70.6,34.5,5,386,56.4,352.0,20.0
Mayville State University,Mayville,North Dakota,4-year,Public,Baccalaureate Colleges--Diverse Fields,no,no,1036,17.1,19.9,21.5,71599,72233,66436,56.7,809,1059.8893044128647,4196.0,32544.04606112785,20.9,36.0,29.7,55.9,97.8,9,343,44.5,86.0,20.0
Minot State University,Minot,North Dakota,4-year,Public,Masters Colleges and Universities--medium programs,no,no,3254,21.1,19.9,21.5,49842,72233,66436,66.1,2660,1004.0,3822.0,5036.0,14.4,37.3,23.2,68.2,67.6,9,169,18.8,418.0,20.0
University of North Dakota,Grand Forks,North Dakota,4-year,Public,Research Universities--high research activity,no,yes,11724,16.7,19.9,21.5,108164,72233,66436,80.0,10831,1090.0,4432.0,1000.0,24.1,53.3,20.9,75.0,91.1,9,96,72.6,1832.0,20.0
North Dakota State College of Science,Wahpeton,North Dakota,2-year,Public,Associates--Public Rural-serving Medium,no,no,3168,27.6,25.9,16.5,43505,49596,37780,54.0,2318,1059.8893044128647,5009.0,4719.0,38.4,47.3,29.5,63.2,36.5,5,289,32.3,588.0,20.0
Dakota College at Bottineau,Bottineau,North Dakota,2-year,Public,Associates--Public 2-year colleges under 4-year universities,no,no,793,28.4,25.9,16.5,37817,49596,37780,46.3,470,1059.8893044128647,4381.0,4459.0,24.1,28.3,28.8,35.2,24.6,5,47,33.6,191.0,20.0
North Dakota State University,Fargo,North Dakota,4-year,Public,Research Universities--very high research activity,no,no,11948,18.0,19.9,21.5,60098,72233,66436,89.6,11236,1091.0,4754.0,28.0,25.6,53.1,22.5,78.0,98.1,9,106,73.3,2125.0,20.0
Williston State College,Williston,North Dakota,2-year,Public,Associates--Public Rural-serving Small,no,no,909,31.6,25.9,16.5,67221,49596,37780,47.3,562,1059.8893044128647,4871.0,93.0,32.5,37.3,21.9,58.3,100.0,5,111,30.4,126.0,20.0
Sitting Bull College,Fort Yates,North Dakota,4-year,Public,Tribal Colleges,no,no,279,19.3,19.9,21.5,52169,72233,66436,69.5,222,1059.8893044128647,9152.0,5887.0,28.36446495529276,42.40758580905681,71.5,66.23185289957567,53.2,9,33,80.0,658.3060282665128,20.0
Trinity Bible College,Ellendale,North Dakota,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,no,no,198,17.7,20.3,22.5,97266,61404,101725,80.8,209,1059.8893044128647,16552.0,676.0,23.5,35.3,72.2,65.0,76.5,5,106,68.2,51.0,20.0
Turtle Mountain Community College,Belcourt,North Dakota,4-year,Private not-for-profit,Tribal Colleges,no,no,602,26.5,20.3,22.5,79723,61404,101725,80.2,507,1059.8893044128647,7476.0,3352.0,0.0,0.0,73.5,50.0,59.3,5,33,80.3,1.0,20.0
United Tribes Technical College,Bismarck,North Dakota,4-year,Private not-for-profit,Tribal Colleges,no,no,505,19.8,20.3,22.5,133443,61404,101725,87.3,536,1059.8893044128647,10821.0,1133.0,28.36446495529276,42.40758580905681,55.0,69.6,100.0,5,33,95.6,658.3060282665128,20.0
Valley City State University,Valley City,North Dakota,4-year,Public,Baccalaureate Colleges--Diverse Fields,no,no,1211,21.6,19.9,21.5,63240,72233,66436,62.7,974,967.0,4969.0,4742.0,22.8,46.2,26.4,64.4,56.3,9,343,77.0,184.0,20.0
ETI Technical College of Niles,Niles,Ohio,2-year,Private for-profit,Associates--Private For-profit,no,no,161,31.0,34.1,32.8,23095,35515,24795,65.2,278,1059.8893044128647,4748.0,32544.04606112785,44.4,44.4,89.4,53.3,41.7,42,517,35.1,27.0,20.0
Academy of Court Reporting at Cleveland,Independence,Ohio,2-year,Private for-profit,Associates--Private For-profit,no,no,243,27.5,34.1,32.8,57757,35515,24795,59.3,227,1059.8893044128647,4291.0,32544.04606112785,24.3,67.6,78.4,50.0,14.0,42,517,55.8,37.0,20.0
Akron Institute of Herzing University,Akron,Ohio,4-year,Private for-profit,Associates--Private For-profit,no,no,302,24.7,27.6,24.6,42188,43576,38763,63.2,466,1059.8893044128647,4170.0,32544.04606112785,28.36446495529276,42.40758580905681,83.0,100.0,68.6,24,517,38.3,658.3060282665128,20.0
University of Akron,Akron,Ohio,4-year,Public,Research Universities--high research activity,no,no,20477,17.6,19.5,21.5,63412,74213,66436,77.5,18964,1016.0,5181.0,8639.0,15.6,40.2,41.5,66.4,46.5,34,96,78.2,3552.0,20.0
University of Akron-Wayne College,Orrville,Ohio,2-year,Public,Associates--Public 2-year colleges under 4-year universities,no,no,2020,5.0,15.3,16.5,0,42672,37780,43.8,1400,1059.8893044128647,3582.0,7390.0,1.2,7.6,38.1,60.8,16.6,25,47,43.7,340.0,20.0
Antonelli College,Cincinnati,Ohio,2-year,Private for-profit,Associates--Private For-profit,no,no,180,24.6,34.1,32.8,258973,35515,24795,90.0,303,1059.8893044128647,3820.0,32544.04606112785,29.6,29.6,97.0,19.2,39.1,42,517,81.8,27.0,20.0
Art Academy of Cincinnati,Cincinnati,Ohio,4-year,Private not-for-profit,Schools of art- music- and design,no,no,207,18.3,22.6,22.5,332080,79796,101725,93.2,190,1009.0,13948.0,7509.0,53.1,53.1,41.7,71.1,16.0,57,114,96.9,32.0,20.0
Ashland University,Ashland,Ohio,4-year,Private not-for-profit,Doctoral/Research Universities,no,no,3198,22.2,22.6,22.5,53425,79796,101725,74.7,2970,1043.0,18586.0,9394.0,41.5,56.1,28.6,73.7,45.7,57,79,83.5,636.0,20.0
Aultman College of Nursing and Health Sciences,Canton,Ohio,4-year,Private not-for-profit,Associates--Private Not-for-profit,no,no,306,35.1,22.6,22.5,51799,79796,101725,17.0,288,1059.8893044128647,3419.0,3811.0,28.36446495529276,42.40758580905681,47.8,66.23185289957567,83.3,57,73,16.9,658.3060282665128,20.0
Baldwin-Wallace College,Berea,Ohio,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,no,no,3425,22.5,22.6,22.5,73817,79796,101725,87.7,3252,1096.0,15260.0,33733.0,55.2,70.9,33.3,79.2,41.8,57,386,67.8,735.0,20.0
Belmont Technical College,Saint Clairsville,Ohio,2-year,Public,Associates--Public Rural-serving Medium,no,no,1259,20.0,15.3,16.5,34175,42672,37780,56.2,1400,1059.8893044128647,3838.0,302.0,2.3,19.2,66.5,44.9,22.6,25,289,61.8,349.0,20.0
Bluffton University,Bluffton,Ohio,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,no,no,1053,23.4,22.6,22.5,64498,79796,101725,79.6,950,1027.0,24475.0,20012.0,52.4,59.7,38.8,67.4,58.9,57,343,74.0,206.0,20.0
Fortis College at Ravenna,Ravenna,Ohio,2-year,Private for-profit,Associates--Private For-profit,no,no,356,41.1,34.1,32.8,32209,35515,24795,75.0,560,1059.8893044128647,5207.0,32544.04606112785,24.7,48.2,87.7,63.7,18.6,42,517,49.6,340.0,20.0
Bowling Green State University Firelands College,Huron,Ohio,2-year,Public,Associates--Public Rural-serving Small,no,no,2441,13.5,15.3,16.5,0,42672,37780,50.6,1681,1059.8893044128647,3742.0,4997.0,4.3,13.2,45.8,54.8,40.7,25,111,43.5,370.0,20.0
Bowling Green State University,Bowling Green,Ohio,4-year,Public,Research Universities--high research activity,no,no,14477,19.1,19.5,21.5,61675,74213,66436,92.5,14455,1009.0,6379.0,9758.0,31.2,54.0,34.3,70.1,70.8,34,96,78.3,3233.0,20.0
Bryant & Stratton College at Parma,Parma,Ohio,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates,no,no,662,19.5,27.6,24.6,44253,43576,38763,48.9,869,1059.8893044128647,3948.0,32544.04606112785,28.36446495529276,42.40758580905681,81.1,0.0,26.1,24,83,30.6,658.3060282665128,20.0
Capital University,Columbus,Ohio,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,no,no,2788,21.3,22.6,22.5,78424,79796,101725,89.0,2800,1102.0,18458.0,17716.0,51.5,58.2,29.6,74.4,44.1,57,169,77.0,627.0,20.0
Case Western Reserve University,Cleveland,Ohio,4-year,Private not-for-profit,Research Universities--very high research activity,no,no,4661,21.8,22.6,22.5,156276,79796,101725,97.1,4547,1377.0,27147.0,186652.0,64.8,79.9,20.0,94.2,86.0,57,106,95.2,1132.0,20.0
Cedarville University,Cedarville,Ohio,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,no,no,3238,18.6,22.6,22.5,119811,79796,101725,94.0,3340,1195.0,11352.0,6903.0,61.3,72.6,20.8,85.2,71.9,57,343,99.9,760.0,20.0
Central Ohio Technical College,Newark,Ohio,2-year,Public,Associates--Public Suburban-serving Single Campus,no,no,3648,19.0,15.3,16.5,38816,42672,37780,27.3,2995,1059.8893044128647,3534.0,838.0,3.2,12.0,59.6,43.1,24.6,25,106,39.1,560.0,20.0
Central State University,Wilberforce,Ohio,4-year,Public,Baccalaureate Colleges--Diverse Fields,yes,no,2036,11.0,19.5,21.5,148228,74213,66436,90.4,2077,825.0,8021.0,1196.0,10.5,25.2,75.8,52.8,53.3,34,343,81.2,564.0,20.0
Chatfield College,Saint Martin,Ohio,2-year,Private not-for-profit,Associates--Private Not-for-profit,no,no,427,14.7,21.3,25.9,75839,29254,34510,49.9,345,1059.8893044128647,6269.0,6597.0,26.2,31.0,69.8,33.3,100.0,3,73,28.7,42.0,20.0
The Christ College of Nursing and Health Sciences,Cincinnati,Ohio,4-year,Private not-for-profit,Associates--Private Not-for-profit,no,no,535,33.6,22.6,22.5,63809,79796,101725,50.3,394,1011.0,5105.0,9927.0,28.36446495529276,42.40758580905681,41.6,66.23185289957567,59.6,57,73,100.0,658.3060282665128,0.0
Cincinnati Christian University,Cincinnati,Ohio,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,no,no,676,20.7,22.6,22.5,58553,79796,101725,84.2,545,989.0,7918.0,5943.0,18.5,38.0,48.7,77.0,28.0,57,106,62.0,108.0,20.0
University of Cincinnati,Cincinnati,Ohio,4-year,Public,Research Universities--very high research activity,no,no,23706,23.3,19.5,21.5,68915,74213,66436,85.8,21242,1141.0,6784.0,34212.0,25.0,63.5,26.6,84.6,54.8,34,106,98.3,3525.0,20.0
Cincinnati State Technical and Community College,Cincinnati,Ohio,2-year,Public,Associates--Public Urban-serving Single Campus,no,no,11167,16.0,15.3,16.5,52043,42672,37780,37.2,8757,1059.8893044128647,3251.0,558.0,6.8,15.6,11.7,47.9,31.3,25,31,45.6,1343.0,20.0
University of Cincinnati-Clermont College,Batavia,Ohio,4-year,Public,Associates--Public 2-year colleges under 4-year universities,no,no,3446,16.9,19.5,21.5,47521,74213,66436,60.4,2722,1059.8893044128647,4634.0,525.0,28.36446495529276,42.40758580905681,43.9,66.23185289957567,24.9,34,47,85.4,658.3060282665128,20.0
University of Cincinnati-Raymond Walters College,Blue Ash,Ohio,4-year,Public,Associates--Public 2-year colleges under 4-year universities,no,no,4796,15.0,19.5,21.5,56125,74213,66436,61.8,3699,1059.8893044128647,4870.0,58.0,28.36446495529276,42.40758580905681,41.5,66.23185289957567,36.4,34,47,82.1,658.3060282665128,20.0
Ohio Christian University,Circleville,Ohio,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,no,no,3528,17.2,22.6,22.5,39099,79796,101725,49.5,2275,939.0,2819.0,1149.0,15.6,32.8,56.9,64.1,30.6,57,343,64.5,64.0,20.0
Clark State Community College,Springfield,Ohio,2-year,Public,Associates--Public Urban-serving Single Campus,no,no,5653,14.5,15.3,16.5,44985,42672,37780,29.9,3689,1059.8893044128647,3936.0,2493.0,2.3,8.7,51.2,38.9,21.7,25,31,34.1,392.0,20.0
Cleveland Institute of Art,Cleveland,Ohio,4-year,Private not-for-profit,Schools of art- music- and design,no,no,568,17.3,22.6,22.5,162156,79796,101725,98.2,562,1060.0,17922.0,45604.0,53.6,59.8,44.2,78.3,39.8,57,114,100.0,97.0,20.0
Cleveland Institute of Music,Cleveland,Ohio,4-year,Private not-for-profit,Schools of art- music- and design,no,no,237,18.6,22.6,22.5,114940,79796,101725,99.6,253,1059.8893044128647,28052.0,86283.0,48.3,56.9,15.1,85.0,34.8,57,114,89.6,58.0,20.0
Cleveland State University,Cleveland,Ohio,4-year,Public,Research Universities--high research activity,no,no,12133,19.8,19.5,21.5,57026,74213,66436,74.2,10602,1030.0,5739.0,507.0,8.3,32.0,43.4,67.2,47.8,34,96,39.1,1132.0,20.0
Bradford School (Ohio),Columbus,Ohio,2-year,Private for-profit,Associates--Private For-profit,no,no,449,37.6,34.1,32.8,20395,35515,24795,100.0,797,1059.8893044128647,4406.0,32544.04606112785,67.3,67.3,62.6,80.5,56.4,42,517,59.3,156.0,20.0
Columbus College of Art & Design,Columbus,Ohio,4-year,Private not-for-profit,Schools of art- music- and design,no,no,1348,20.5,22.6,22.5,92339,79796,101725,91.0,1251,1035.0,12546.0,7322.0,47.1,59.1,37.3,79.4,31.2,57,114,81.1,325.0,20.0
Columbus State Community College,Columbus,Ohio,2-year,Public,Associates--Public Urban-serving Single Campus,no,no,25249,12.6,15.3,16.5,30646,42672,37780,34.9,22814,1059.8893044128647,4526.0,32544.04606112785,1.2,7.8,41.6,49.1,22.8,25,31,23.0,2190.0,20.0
Cuyahoga Community College,Cleveland,Ohio,2-year,Public,Associates--Public Urban-serving Multicampus,no,no,27910,13.3,15.3,16.5,76840,42672,37780,34.1,20271,1059.8893044128647,4886.0,1952.0,0.7,4.4,47.0,47.5,25.3,25,125,28.7,2085.0,20.0
Davis College,Toledo,Ohio,2-year,Private for-profit,Associates--Private For-profit,no,no,218,32.3,34.1,32.8,48952,35515,24795,24.3,264,1059.8893044128647,5786.0,32544.04606112785,6.7,20.0,79.9,37.5,24.0,42,517,14.0,30.0,20.0
University of Dayton,Dayton,Ohio,4-year,Private not-for-profit,Research Universities--high research activity,no,no,7975,21.1,22.6,22.5,84267,79796,101725,93.5,7956,1181.0,14059.0,41246.0,60.4,76.7,11.9,88.6,60.1,57,96,92.1,1763.0,20.0
Defiance College,Defiance,Ohio,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,no,no,892,21.3,22.6,22.5,84851,79796,101725,82.1,898,964.0,14485.0,13467.0,37.6,45.6,46.5,57.6,31.7,57,343,75.8,226.0,20.0
Denison University,Granville,Ohio,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,no,no,2274,22.8,22.6,22.5,155355,79796,101725,99.1,2268,1285.0,24391.0,305000.0,77.8,81.4,18.1,89.3,79.7,57,252,96.5,585.0,20.0
Edison State Community College,Piqua,Ohio,2-year,Public,Associates--Public Suburban-serving Single Campus,no,no,2993,20.8,15.3,16.5,33840,42672,37780,29.3,2049,1059.8893044128647,3752.0,843.0,9.2,20.4,44.3,52.9,25.5,25,106,35.2,437.0,20.0
Bryant & Stratton College at Cleveland,Cleveland,Ohio,4-year,Private for-profit,Baccalaureate/Associates Colleges,no,no,538,15.7,27.6,24.6,60609,43576,38763,40.5,718,1059.8893044128647,4012.0,32544.04606112785,28.36446495529276,42.40758580905681,90.1,66.23185289957567,20.3,24,124,88.9,658.3060282665128,20.0
University of Findlay,Findlay,Ohio,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,no,no,3872,16.6,22.6,22.5,72740,79796,101725,64.3,3055,1083.0,12746.0,7346.0,43.8,56.0,20.1,76.2,75.2,57,386,71.9,589.0,20.0
Franklin University,Columbus,Ohio,4-year,Private not-for-profit,Schools of business and management,no,no,5185,32.9,22.6,22.5,26260,79796,101725,34.5,3068,1059.8893044128647,3448.0,1431.0,3.3,15.0,47.3,47.4,8.0,57,42,13.4,60.0,20.0
God's Bible School and College,Cincinnati,Ohio,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,no,no,305,20.2,22.6,22.5,80747,79796,101725,66.9,228,1059.8893044128647,4549.0,32544.04606112785,13.5,35.1,46.5,76.5,95.2,57,106,67.5,37.0,20.0
Good Samaritan College of Nursing and Health Science,Cincinnati,Ohio,4-year,Private not-for-profit,Associates--Private Not-for-profit,no,no,355,36.4,22.6,22.5,84066,79796,101725,41.7,230,970.0,3711.0,11527.0,28.36446495529276,42.40758580905681,48.4,66.23185289957567,74.4,57,73,21.0,658.3060282665128,20.0
Heidelberg University,Tiffin,Ohio,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs,no,no,1107,20.4,22.6,22.5,88103,79796,101725,95.3,1079,1059.8893044128647,14577.0,27948.0,35.2,50.7,42.9,64.6,54.8,57,106,86.9,369.0,20.0
Hiram College,Hiram,Ohio,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,no,no,1283,22.2,22.6,22.5,106682,79796,101725,87.1,1255,1030.0,16714.0,49493.0,57.1,64.6,41.1,75.7,54.1,57,252,82.9,333.0,20.0
Hocking College,Nelsonville,Ohio,2-year,Public,Associates--Public Rural-serving Large,no,no,4094,18.8,15.3,16.5,31033,42672,37780,73.6,4146,1059.8893044128647,4283.0,1159.0,9.1,18.6,57.9,48.0,61.6,25,128,53.1,1278.0,20.0
"ITT Technical Institute (Dayton, Ohio)",Dayton,Ohio,4-year,Private for-profit,Associates--Private For-profit,no,no,304,37.8,27.6,24.6,42284,43576,38763,74.0,357,1059.8893044128647,3925.0,32544.04606112785,28.36446495529276,42.40758580905681,78.8,66.23185289957567,15.4,24,517,79.9,658.3060282665128,20.0
Eastern Gateway Community College,Steubenville,Ohio,2-year,Public,Associates--Public Rural-serving Medium,no,no,2929,16.5,15.3,16.5,55824,42672,37780,48.3,1841,1059.8893044128647,4085.0,143.0,8.6,23.7,54.7,48.9,16.9,25,289,32.7,291.0,20.0
John Carroll University,University Heights,Ohio,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,no,no,3040,21.6,22.6,22.5,77666,79796,101725,97.0,2996,1112.0,20752.0,51044.0,65.4,75.3,27.3,88.1,48.5,57,386,83.3,720.0,20.0
Hondros College,Westerville,Ohio,4-year,Private for-profit,Associates--Private For-profit,no,no,1656,45.8,27.6,24.6,23252,43576,38763,77.2,1684,1059.8893044128647,4733.0,32544.04606112785,28.36446495529276,42.40758580905681,67.5,66.23185289957567,62.5,24,517,22.6,658.3060282665128,20.0
Kent State University at Ashtabula,Ashtabula,Ohio,4-year,Public,Associates--Public 4-year Primarily Associates,no,no,2339,16.4,19.5,21.5,47013,74213,66436,28.6,1478,1059.8893044128647,3976.0,32544.04606112785,1.3,10.7,59.4,49.2,45.0,34,34,55.5,75.0,20.0
Kent State University-East Liverpool,East Liverpool,Ohio,4-year,Public,Associates--Public 2-year colleges under 4-year universities,no,no,1671,16.7,19.5,21.5,58392,74213,66436,13.9,690,1059.8893044128647,4047.0,32544.04606112785,22.2,38.9,54.9,60.0,38.6,34,47,66.1,18.0,20.0
Kent State University-Stark,Canton,Ohio,4-year,Public,Associates--Public 4-year Primarily Associates,no,no,4836,4.4,19.5,21.5,222141,74213,66436,45.8,3239,1059.8893044128647,4063.0,32544.04606112785,8.5,27.4,53.8,63.3,42.0,34,34,64.4,574.0,20.0
Kent State University-Trumbull,Warren,Ohio,4-year,Public,Associates--Public 4-year Primarily Associates,no,no,3061,5.5,19.5,21.5,169362,74213,66436,30.3,1816,1059.8893044128647,4016.0,32544.04606112785,6.3,20.8,61.0,54.8,49.6,34,34,73.0,207.0,20.0
Kent State University-Tuscarawas,New Philadelphia,Ohio,4-year,Public,Associates--Public 2-year colleges under 4-year universities,no,no,2375,14.7,19.5,21.5,49990,74213,66436,36.8,1572,1059.8893044128647,3841.0,32544.04606112785,4.9,18.3,50.0,69.4,41.5,34,47,75.8,142.0,20.0
Kent State University-Salem,Salem,Ohio,4-year,Public,Baccalaureate/Associates Colleges,no,no,1844,12.4,19.5,21.5,68796,74213,66436,38.1,1211,1059.8893044128647,4282.0,32544.04606112785,11.4,31.6,52.4,55.7,33.3,34,124,69.0,79.0,20.0
Kent State University,Kent,Ohio,4-year,Public,Research Universities--high research activity,no,no,22968,21.6,19.5,21.5,54538,74213,66436,80.7,20602,1048.0,6239.0,3768.0,27.7,51.5,34.4,77.7,52.8,34,96,83.5,3721.0,20.0
Kent State University-Geauga,Burton,Ohio,4-year,Public,Associates--Public 4-year Primarily Associates,no,no,2646,7.9,19.5,21.5,129030,74213,66436,22.3,1308,1059.8893044128647,3788.0,32544.04606112785,7.7,21.2,40.8,61.0,25.7,34,34,77.3,104.0,20.0
Kenyon College,Gambier,Ohio,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,no,no,1705,22.4,22.6,22.5,192554,79796,101725,99.4,1830,1328.0,25677.0,106676.0,86.2,89.1,10.3,95.7,95.7,57,252,98.3,458.0,20.0
Kettering College of Medical Arts,Kettering,Ohio,4-year,Private not-for-profit,Other health professions schools,no,no,800,30.0,22.6,22.5,50294,79796,101725,52.4,756,1002.0,4314.0,32544.04606112785,63.6,81.8,39.1,52.1,100.0,57,43,32.8,11.0,20.0
Lake Erie College,Painesville,Ohio,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs,no,no,922,18.6,22.6,22.5,66579,79796,101725,92.4,987,983.0,17309.0,27395.0,27.8,44.7,41.0,70.6,35.0,57,106,77.2,237.0,20.0
Lakeland Community College,Kirtland,Ohio,2-year,Public,Associates--Public Suburban-serving Single Campus,no,no,8839,16.9,15.3,16.5,54760,42672,37780,35.9,6170,1059.8893044128647,6768.0,397.0,8.3,8.3,39.5,46.7,21.1,25,106,34.2,955.0,20.0
James A. Rhodes State College,Lima,Ohio,2-year,Public,Associates--Public Rural-serving Medium,no,no,3599,23.4,15.3,16.5,32421,42672,37780,39.1,2689,1059.8893044128647,4409.0,488.0,2.2,18.9,50.2,51.9,27.8,25,289,64.4,684.0,20.0
Ohio Business College at Sheffield Village,Sheffield Village,Ohio,2-year,Private for-profit,Associates--Private For-profit,no,no,415,36.8,34.1,32.8,17434,35515,24795,77.1,498,1059.8893044128647,5153.0,32544.04606112785,32.3,64.5,89.5,56.8,19.4,42,517,35.4,62.0,20.0
Ohio Business College at Sandusky,Sandusky,Ohio,2-year,Private for-profit,Associates--Private For-profit,no,no,387,24.7,34.1,32.8,22198,35515,24795,51.7,374,1059.8893044128647,4818.0,32544.04606112785,5.6,29.6,89.9,59.1,21.2,42,517,32.4,54.0,20.0
Lorain County Community College,Elyria,Ohio,2-year,Public,Associates--Public Urban-serving Single Campus,no,no,12274,16.3,15.3,16.5,24944,42672,37780,27.6,7690,1059.8893044128647,3681.0,4484.0,1.0,9.5,46.3,60.3,19.2,25,31,27.3,1175.0,20.0
Lourdes College,Sylvania,Ohio,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs,no,no,1806,21.9,22.6,22.5,66744,79796,101725,63.0,1462,1059.8893044128647,7646.0,5695.0,6.7,32.2,57.2,62.2,100.0,57,106,23.3,90.0,20.0
Malone University,Canton,Ohio,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,no,no,1656,25.1,22.6,22.5,49202,79796,101725,87.7,1801,1046.0,14422.0,7391.0,45.7,58.7,39.9,71.3,42.7,57,169,61.4,387.0,20.0
Marietta College,Marietta,Ohio,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,no,no,1416,20.0,22.6,22.5,105695,79796,101725,95.5,1491,1059.8893044128647,18237.0,40982.0,43.8,55.0,30.2,71.5,66.7,57,343,89.5,416.0,20.0
Marion Technical College,Marion,Ohio,2-year,Public,Associates--Public Rural-serving Medium,no,no,2698,18.5,15.3,16.5,40908,42672,37780,33.4,1752,1059.8893044128647,5735.0,32544.04606112785,11.0,20.0,41.4,42.9,31.2,25,289,18.3,355.0,20.0
Mercy College of Northwest Ohio,Toledo,Ohio,4-year,Private not-for-profit,Other health professions schools,no,no,1195,37.0,22.6,22.5,39542,79796,101725,41.9,891,1059.8893044128647,4634.0,11072.0,58.8,64.7,52.3,86.4,37.3,57,43,20.6,17.0,20.0
