chronname,city,state,level,control,basic,hbcu,flagship,student_count,awards_per_value,awards_per_state_value,awards_per_natl_value,exp_award_value,exp_award_state_value,exp_award_natl_value,ft_pct,fte_value,med_sat_value,aid_value,endow_value,grad_100_value,grad_150_value,pell_value,retain_value,ft_fac_value,state_sector_ct,carnegie_ct,counted_pct,cohort_size,num_similar
Henry Ford Community College,Dearborn,Michigan,2-year,Public,Associates--Public Suburban-serving Multicampus,no,no,13836,11.8,18.2,16.5,55203,40211,37780,36.2,12610,1059.8893044128647,4069.0,297.0,2.1,5.5,55.3,41.9,20.5,30,99,40.0,2464.0,20.0
Hope College,Holland,Michigan,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,no,no,3388,20.8,24.2,22.5,95527,54025,101725,95.5,3535,1204.0,12763.0,46375.0,67.6,78.1,20.4,88.4,70.5,39,252,93.5,819.0,20.0
"ITT Technical Institute (Grand Rapids, Mich.)",Wyoming,Michigan,4-year,Private for-profit,Other technology-related schools,no,no,343,41.6,28.3,24.6,28394,52332,38763,78.7,360,1059.8893044128647,3566.0,32544.04606112785,28.36446495529276,42.40758580905681,71.8,66.23185289957567,3.8,9,54,65.7,658.3060282665128,20.0
Jackson Community College,Jackson,Michigan,2-year,Public,Associates--Public Rural-serving Large,no,no,5665,19.7,18.2,16.5,40162,40211,37780,42.2,4258,1059.8893044128647,7281.0,2190.0,7.4,13.1,56.0,56.8,22.1,30,128,48.5,1127.0,20.0
Kalamazoo College,Kalamazoo,Michigan,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,no,no,1458,21.5,24.2,22.5,119119,54025,101725,99.2,1446,1240.0,22194.0,132984.0,72.5,77.4,18.6,91.9,81.1,39,252,91.7,363.0,20.0
Kalamazoo Valley Community College,Kalamazoo,Michigan,2-year,Public,Associates--Public Rural-serving Large,no,no,10192,16.5,18.2,16.5,32119,40211,37780,38.1,7369,1059.8893044128647,7255.0,1730.0,2.3,10.6,46.6,56.4,25.7,30,128,18.1,1331.0,20.0
Kellogg Community College,Battle Creek,Michigan,2-year,Public,Associates--Public Rural-serving Large,no,no,6123,19.6,18.2,16.5,41719,40211,37780,28.5,4078,1059.8893044128647,7831.0,32544.04606112785,10.5,15.2,24.1,54.2,22.6,30,128,36.5,505.0,20.0
Kirtland Community College,Roscommon,Michigan,2-year,Public,Associates--Public Rural-serving Medium,no,no,1805,32.9,18.2,16.5,42345,40211,37780,38.4,1133,1059.8893044128647,3538.0,1765.0,2.0,15.8,58.3,53.4,26.2,30,289,40.2,152.0,20.0
Lake Michigan College,Benton Harbor,Michigan,2-year,Public,Associates--Public Rural-serving Medium,no,no,4230,19.0,18.2,16.5,53501,40211,37780,30.8,2341,1059.8893044128647,4614.0,3228.0,7.7,17.6,45.9,51.2,17.8,30,289,47.5,522.0,20.0
Lake Superior State University,Sault Ste Marie,Michigan,4-year,Public,Baccalaureate Colleges--Diverse Fields,no,no,2429,25.2,21.3,21.5,50752,76276,66436,81.0,2235,1050.0,6871.0,7292.0,16.8,42.2,41.5,74.8,64.4,16,343,63.2,393.0,20.0
